Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,RIC
Tosei,S2D,9.5,10,67767.852,64347.84,9.7,2.73,Real Estate,,8923.T
Totm Tech,42F,0.105,-22.54,102.046,11.127,,,Financial Technology (Fintech) & Infrastructure,63,TOTM.SI
Travelite,BCZ,0.091,16.32,5.743,39.371,2.17,,Retailers,60,TRHL.SI
Trek 2000 Intl,5AB,0.077,-22.3,24.957,32.58,,,Technology Equipment,51,TRKL.SI
Trendlines,42T,0.088,-9.84,77.057,3.81,,,Banking & Investment Services,92,THET.SI
TrickleStar,CYW,0.21,-40.8,17.468,15.949,,0.95,Industrial Goods,65,TRIC.SI
Tritech,5G9,0.027,-27.74,28.357,24.739,,,Industrial & Commercial Services,65,TTGL.SI
Triyards,RC5,0.084,-114.28,27.271,157.264,,,Energy - Fossil Fuels,46,TRIY.SI
TSH,KUH,0.131,-3,5.811,5.981,,,Cyclical Consumer Services,,TSHC.SI
TT Intl,T09,0.014,,14.54,34.544,,,Retailers,37,TINL.SI
Tuan Sing,T24,0.31,-0.59,393.895,215.347,,2.19,Real Estate,101,TSHS.SI
Tye Soon,BFU,0.41,9.3,35.342,235.881,6.69,2.1,Automobiles & Auto Parts,51,TYES.SI
UGHealthcare,8K7,0.195,17.54,121.646,232.598,3.28,1.64,Healthcare Services,,UGHE.SI
Uni-Asia Grp,CHJ,0.83,14.53,65.631,93.966,2.66,11.38,Industrial & Commercial Services,89,UAFC.SI
Union Gas,1F2,0.46,24.68,146.173,146.294,12.07,2.17,Utilities,83,UNIO.SI
Union Steel,BLA,0.545,11,21.461,80.135,3.03,1.83,Mineral Resources,69,UNIS.SI
United Food,AZR,0.043,-5.21,8.08,11.361,,,Chemicals,28,UTDF.SI
Universal Res,BGO,0.17,-64.96,4.093,0.01,,,Energy - Fossil Fuels,41,UNIV.SI
UnUsUaL,1D1,0.137,-3.51,140.998,9.462,,,Cyclical Consumer Services,80,UNUS.SI
UOA,EH5,0.5,5.28,270.392,237.15,9.66,2.52,Real Estate,,UOS.AX
UOB,U11,30.91,9.52,52819.977,8829,13.13,3.83,Banking & Investment Services,114,UOBH.SI
UOB Kay Hian,U10,1.4,6.42,1252.102,522.53,11.01,6.24,Banking & Investment Services,66,UOKH.SI
UOI,U13,6.51,4.55,397.508,43.035,20.23,2.62,Insurance,75,UOIS.SI
UOL,U14,6.69,5.78,5701.834,2947.675,9.71,2.22,Real Estate,96,UTOS.SI
USP Group,BRS,0.089,24.82,8.092,40.607,1.18,,Energy - Fossil Fuels,29,USPG.SI
V2Y Corp,V2Y,0.022,-139.82,7.785,0.603,,,Insurance,71,V2YC.SI
Vallianz,WPC,0.055,6.45,66.639,129.806,17.98,,Transportation,64,VHLD.SI
ValueMax,T6I,0.325,14.98,237.799,297.303,4.71,5.78,Retailers,82,VAMG.SI
Valuetronics,BN2,0.505,8.57,217.815,359.126,10.82,4.85,Technology Equipment,77,VLUE.SI
VCPlus,43E,0.008,-71.52,31.851,0.608,,,Mineral Resources,79,VCPL.SI
Venture,V03,17.4,12.91,5062.544,3471.378,14.61,4.33,Technology Equipment,90,VENM.SI
Versalink,40N,0.099,3.43,13.365,14.828,26.82,,Industrial & Commercial Services,67,VERS.SI
Vertex SPAC,VT1,4.52,,186.954,,,,Holding Companies,,VERT.SI
Vibrant Group,BIP,0.075,4.01,51.648,201.82,5.51,2.03,Transportation,70,VIBR.SI
VibroPower,BJD,0.067,,5.01,,,,Utilities,73,VIBO.SI
VICOM Ltd,WJP,1.93,21.04,687.862,105.063,26.54,3.38,Industrial & Commercial Services,,VCOM.SI
Vividthree,OMK,0.034,-31.86,12.631,3.5,,,Cyclical Consumer Services,68,VIVI.SI
Watches.com Ltd,WVJ,0.011,-17.49,5.86,25.695,,,Retailers,,WATC.SI
Wee Hur,E3B,0.2,7.68,184.375,232.491,5.63,2.54,Industrial & Commercial Services,64,WHHL.SI
Willas-Array,BDR,0.5,7.39,241.837,3422.809,4.66,11.96,Technology Equipment,74,0854.HK
Wilmar Intl,F34,4.12,11.87,26253.945,97969.422,8.3,4.02,Food & Beverages,89,WLIL.SI
Wilton Resources,5F7,0.022,,60.652,0.444,28.22,,Mineral Resources,52,WILT.SI
Wing Tai,W05,1.51,3.68,1190.891,514.585,8.67,2,Real Estate,86,WTHS.SI
Wong Fong Ind,1A1,0.132,4.26,31.02,65.436,14.04,6.06,Industrial Goods,80,WONG.SI
World Precision,B49,0.31,2.94,124,225.146,18.53,8.27,Industrial Goods,49,WPML.SI
XMH,BQF,0.275,6.33,31.618,71.886,10.05,0.91,Industrial Goods,61,XMHL.SI
Y Ventures,1F1,0.022,-86.42,5.431,33.015,,,Software & IT Services,69,YVEN.SI
Yamada Green Res,BJV,0.146,1.1,25.827,10.803,42.49,,Food & Beverages,38,YAMR.SI
Yanlord Land,Z25,1.01,9.61,1948.736,6338.162,3.13,6.8,Real Estate,78,YNLG.SI
Yeo Hiap Seng,Y03,0.64,-0.09,388.859,349.813,,3.1,Food & Beverages,86,YHSS.SI
YHI Intl,BPF,0.5,9,147.096,444.037,5.72,7.2,Automobiles & Auto Parts,59,YHII.SI
Ying Li Intl,5DM,0.03,-11.36,86.939,39.112,,,Real Estate,69,YING.SI
Yoma Strategic,Z59,0.095,-4.87,217.035,104.878,,,Real Estate,106,YOMA.SI
Yongmao,BKX,0.71,5.76,63.013,190.852,6.67,1.41,Industrial Goods,65,YNMH.SI
Yongnam,AXB,0.026,,18.303,,,,Industrial & Commercial Services,71,YNAM.SI
Yunnan Energy,T43,0.169,1.39,275.437,177.4,106.84,,Technology Equipment,43,1298.HK
YuuZoo Networks,AFC,0.038,,29.694,15.733,,,Software & IT Services,-12,YUUZ.SI
YZJ Fin Hldg,YF8,0.345,,1402.459,,,,Banking & Investment Services,,YANZ.SI
YZJ Shipbldg CNY,SO7,5.28,,,,,,,,
YZJ Shipbldg SGD,BS6,1.42,13.02,5563.708,3825.766,8.77,3.57,Industrial Goods,61,YAZG.SI
Zheneng Jinjiang,BWM,0.285,3.57,414.397,858.403,9.52,,Renewable Energy,64,ZHEN.SI
Zhongmin Baihui,5SR,0.68,-13.96,133.498,205.586,,,Retailers,63,ZBRG.SI
Zhongxin Fruit,5EG,0.031,45.11,33.775,27.258,3.71,,Food & Beverages,64,ZHON.SI
ZICO Hldgs,40W,0.076,-0.18,26.559,18.96,,,Banking & Investment Services,86,ZICO.SI
Zixin,42W,0.017,0.61,24.922,52.443,33.71,,Food & Beverages,73,ZIXI.SI
ARA HTrust USD,XZL,0.375,-1.65,221.988,159.083,,4.14,Real Estate,78,ARAU.SI
Asian Pay Tv Tr,S7OU,0.11,2.34,196.893,297.064,6.89,9.17,Cyclical Consumer Services,65.4,ASIA.SI
CapLand Ascott T,HMN,0.935,4.08,3256.115,476.768,17.97,5.49,Real Estate,,CAPS.SI
CapLand India T,CY6U,1.18,13.87,1381.694,200.643,7.45,,Real Estate,107.2,CAPC.SI
CDL HTrust,J85,1.2,5.76,1484.424,190.144,16.08,3.11,Real Estate,85.5,CDLT.SI
Dasin Retail Tr,CEDU,0.245,,201.118,,,14.92,Real Estate,64.9,DASI.SI
Eagle HTrust USD,LIW,0.137,-131.19,119.567,69.414,,,Real Estate,,EAGL.SI
Far East HTrust,Q5T,0.605,10.96,1202.971,82.677,6.71,4.27,Real Estate,113.8,FAEH.SI
Frasers HTrust,ACV,0.445,4.68,847.472,95.856,14.53,3.19,Real Estate,75.6,FRHO.SI
FSL Trust,D8DU,0.073,11.24,129.068,35.178,12.26,51.76,Transportation,68.5,FSLT.SI
HPH Trust SGD,P7VU,0.27,,,,,,,,
HPH Trust USD,NS8U,0.2,6.34,1742.22,1764.043,8,9.15,Transportation,62.7,HPHT.SI
Kep Infra Tr,A7RU,0.55,2.39,2720.525,1737.755,67.28,7.03,Chemicals,76.7,KEPL.SI
NetLink NBN Tr,CJLU,0.835,3.89,3351.395,389.276,31.7,6.03,Telecommunications Services,109.4,NETL.SI
RHT HealthTrust,RF1U,0.019,-3.55,15.644,0.001,,,Industrial & Commercial Services,46.2,RHTH.SI
AIMS APAC Reit,O5RU,1.21,5.47,875.976,160.344,11.63,6.32,Real Estate,90.2,AIMA.SI
BHG Retail Reit,BMGU,0.5,1.58,258.742,71.883,35.66,3.62,Real Estate,74,BHGR.SI
CapLand Ascendas REIT,A17U,2.75,9.92,11804.614,1307.04,11.8,,Real Estate,111.1,CAPD.SI
CapLand China T,AU8U,1.13,4.11,1908.238,377.967,17.06,7.54,Real Estate,98.8,CAPA.SI
CapLand IntCom T,C38U,2.02,8.53,13668.352,1346.993,11.53,4.3,Real Estate,108.4,CMLT.SI
Cromwell Reit EUR,CWBU,1.56,,,,,,,,
Cromwell Reit SGD,CWCU,2.25,6.08,877.332,208.52,9.97,9.77,Real Estate,,CROM.SI
Daiwa Hse Log Tr,DHLU,0.64,,429.554,,,4.87,Real Estate,,DAIW.SI
DigiCore Reit USD,DCRU,0.575,,690.243,,,3.97,Real Estate,,DIGT.SI
EC World Reit,BWCU,0.45,-3.56,360.378,125.097,,12.74,Real Estate,68.3,ECWO.SI
EliteComREIT GBP,MXNU,0.495,7.03,235.753,37.543,11.28,10.94,Real Estate,,ELIE.SI
ESR-LOGOS REIT,J91U,0.35,-14.16,2385.312,269.114,,6.88,Real Estate,89.6,ESRO.SI
First Reit,AW9U,0.24,8.78,483.581,117.2,6.62,10.92,Real Estate,66.8,FRET.SI
Frasers Cpt Tr,J69U,2.01,5.26,3492.719,356.931,16.85,4.98,Real Estate,83.3,FCRT.SI
Frasers L&C Tr,BUOU,1.13,15.48,4231.229,450.187,5.8,6.53,Real Estate,107.4,FRAE.SI
IREIT Global EUR,8U7U,0.345,,,,,,,,
IREIT Global SGD,UD1U,0.525,25.75,612.622,83.43,2.45,5.09,Real Estate,64,IREI.SI
KepPacOakReitUSD,CMOU,0.545,10.92,574.448,146.983,6.18,11.26,Real Estate,97.7,KPEL.SI
Keppel DC Reit,AJBU,1.82,14.73,3231.062,271.458,10.03,,Real Estate,75.5,KEPE.SI
Keppel Reit,K71U,0.89,5.97,3349.29,220.561,10.69,5.13,Real Estate,81.6,KASA.SI
Lendlease Reit,JYEU,0.71,8.43,1646.632,101.662,7.66,5.75,Real Estate,88.8,LEND.SI
Lippo Malls Tr,D5IU,0.03,-5.53,223.207,205.259,,12.41,Real Estate,84.7,LMRT.SI
ManulifeReit USD,BTOU,0.375,8.02,667.888,194.718,6.71,12.54,Real Estate,79,MANU.SI
Mapletree Ind Tr,ME8U,2.2,8.43,6085.544,669.76,13.85,4.94,Real Estate,86.9,MAPI.SI
Mapletree Log Tr,M44U,1.6,11.41,7839.458,721.288,9.84,5.01,Real Estate,92.1,MAPL.SI
Mapletree PanAsia Com Tr,N2IU,1.65,6.61,8901.305,608.915,12.45,4.89,Real Estate,87.1,MACT.SI
OUE Com Reit,TS0U,0.36,1.27,1967.401,232.175,49.93,5.69,Real Estate,73.3,OUEC.SI
ParkwayLife Reit,C2PU,3.84,24.92,2335.309,121.315,7.06,3.1,Real Estate,95.4,PWLR.SI
Prime US ReitUSD,OXMU,0.475,8.97,578.286,166.476,6.62,14.04,Real Estate,63.3,PRIE.SI
Sabana Reit,M1GU,0.42,6.96,460.371,87.671,11.55,6.3,Real Estate,61.1,SABA.SI
Sasseur Reit,CRPU,0.78,10.25,957.721,134.6,8,9.43,Real Estate,86.9,SASS.SI
SPHREIT,SK6U,0.9,6.29,2515.711,278.857,13.93,,Real Estate,85.8,SPHR.SI
StarhillGbl Reit,P40U,0.535,2.67,1202.717,186.434,23.83,5.92,Real Estate,85.6,STHL.SI
Suntec Reit,T82U,1.39,9.64,3997.567,394.847,6.55,5.76,Real Estate,83.2,SUNT.SI
UtdHampshReitUSD,ODBU,0.49,11.38,279.642,61.242,5.81,11.12,Real Estate,,UNIE.SI
