Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,RIC
ChinaKundaTech,GU5,0.021,-41.99,8.606,3.971,,,Chemicals,61,CKUN.SI
ChinaSunsine,QES,0.405,20.74,398.272,766.768,3.06,2.47,Chemicals,,CHSN.SI
Chip Eng Seng,C29,0.74,0.88,609.774,1129.245,84.28,2.7,Real Estate,63,CESE.SI
Choo Chiang,42E,0.31,15.51,64.48,82.39,7.89,7.42,Industrial Goods,59,CHOO.SI
Chuan Hup,C33,0.21,0.81,194.309,21.289,72.51,4.76,Real Estate,63,CHHS.SI
CityDev,C09,8.3,14.68,7556.294,2906.217,6.06,0.96,Real Estate,115,CTDM.SI
Civmec,P9D,0.595,14.47,295.502,698.323,7.53,5.04,Industrial & Commercial Services,78,CIVM.SI
Clearbridge,1H3,0.035,-37.99,21.019,37.939,,,Healthcare Services,66,CLEA.SI
CNMC Goldmine,5TP,0.195,4.49,77.869,45.946,32.67,1.05,Mineral Resources,71,CNMC.SI
Combine Will,N0Z,0.85,6.34,27.478,199.9,3.43,5.88,Personal & Household Products & Services,74,CWIHx.SI
ComfortDelGro,C52,1.24,5.8,2687.635,3655.7,17.02,3.99,Transportation,100,CMDG.SI
Cordlife,P8A,0.29,4.15,77.582,59.737,13.41,3.1,Healthcare Services,62,CORD.SI
Cortina,C41,4,27.11,662.314,799.155,8.15,0.5,Retailers,69,CORT.SI
COSCO SHP SG,F83,0.171,5.26,385.15,196.036,13.06,,Transportation,53,COSC.SI
CosmoSteel,B9S,0.134,2.84,35.022,46.083,16.86,5.6,Mineral Resources,88,COSM.SI
Courage Inv,CIN,0.041,20.37,87.816,101.32,1,,Transportation,,1145.HK
Creative,C76,1.43,-13.36,111,82.99,,,Technology Equipment,41,CREA.SI
CreditBureauAsia,TCU,0.95,16.68,218.87,46.588,27.68,3.58,Industrial & Commercial Services,55,CRED.SI
CSC,C06,0.01,-14.08,35.883,263.664,,,Industrial & Commercial Services,69,CSCH.SI
CSE Global R,9VQR,0.007,,,,,,,,
CSE Global R1,XHPR,0.008,,,,,,,,
Darco Water Tech,BLR,0.12,-13.23,11.26,68.797,,,Utilities,63,DRWT.SI
Datapulse Tech,BKW,0.107,-5.35,23.53,1.921,,,Real Estate,66,DATA.SI
DBS,D05,34.47,11.63,90437.234,10871,13.61,4.12,Banking & Investment Services,109,DBSM.SI
Debao Property,BTF,0.128,-3.64,9.526,36.442,,15.63,Real Estate,40,DPDL.SI
Del Monte Pac,D03,0.315,11.07,1103.288,3162.038,8.98,7.47,Food & Beverages,105,DMPL.SI
Delfi,P34,0.785,15.57,479.758,596.681,9.75,4.61,Food & Beverages,68,DELF.SI
DFIRG USD,D01,2.53,2.68,3477.931,8961.7,121.51,2.92,Food & Drug Retailing,,DFIR.SI
Digilife Tech,BAI,1.49,,16.656,,,,Telecommunications Services,73,DIGI.SI
Don Agro,GRQ,0.23,12.91,34.563,39.576,3.68,3.7,Food & Beverages,,DONA.SI
Dragon,MT1,0.004,,1.368,3.854,,,Industrial Goods,64,DRGN.SI
Duty Free Intl,5SO,0.088,1.51,118.003,34.652,70.94,,Retailers,58,DUTY.SI
Dyna-Mac,NO4,0.205,20.67,197.858,237.893,32.32,,Industrial Goods,74,DMHL.SI
Econ Healthcare,EHG,0.185,1.15,47.545,49.723,118.59,3.3,Healthcare Services,,ECOE.SI
EcoWise,5CT,0.078,-32.92,72.125,22.629,,,Industrial & Commercial Services,78,ECOW.SI
Edition,5HG,0.004,-29.26,10.093,0.212,,,Food & Beverages,68,EDIT.SI
Eindec,42Z,0.05,12.77,5.385,22.53,6.36,,Industrial & Commercial Services,62,EIND.SI
Ellipsiz,BIX,0.28,2.42,46.796,55.595,16.97,3.57,Technology Equipment,56,ELPZ.SI
Emperador Inc.,EMI,0.49,12.65,318663.531,60218.887,32.39,,Food & Beverages,,EMI.PS
Eneco Energy,R14,0.012,-10.57,23.107,44.023,,,Energy - Fossil Fuels,38,ENEC.SI
EnGro,S44,1,10.76,118.702,131.928,3.81,2.5,Mineral Resources,71,ENGR.SI
Envictus,BQD,0.168,-3.99,51.143,158.577,,,Cyclical Consumer Services,51,ETIK.SI
Enviro-Hub,L23,0.048,4.22,73.776,45.559,22.97,,Industrial & Commercial Services,66,EHHL.SI
ES,5RC,0.053,-14.93,7.484,28.735,,,Industrial Goods,73,ESGL.SI
ETC Singapore,1C0,0.034,,32.523,,,,Real Estate,82,EMER.SI
EuroSports Gbl,5G1,0.191,-18.2,50.615,62.426,,,Retailers,82,EURO.SI
Ezra,5DN,0.011,-121.68,32.174,710.629,,,Energy - Fossil Fuels,30,EZRA.SI
F & N,F99,1.26,4.1,1831.473,2003.214,14.65,3.97,Food & Beverages,71,FRNM.SI
Falcon Energy,5FL,0.027,,23.197,39.832,,,Energy - Fossil Fuels,50,FEGL.SI
Far East,5TJ,0.088,1.77,9.809,93.951,12.87,2.05,Industrial Goods,64,FAEA.SI
Far East Orchard,O10,1.04,3.03,488.968,115.545,12.58,2.91,Cyclical Consumer Services,92,FARE.SI
Federal Int,BDU,0.138,4.87,19.426,122.131,4.95,,Energy - Fossil Fuels,80,FEDL.SI
Figtree,5F4,0.059,-9.05,21.204,22.826,,3.39,Real Estate,52,FIGT.SI
First Resources,EB5,1.51,22.53,2486.995,1562.495,7.13,4.84,Food & Beverages,88,FRLD.SI
First Sponsor,ADN,1.2,6.77,1108.988,547.666,12.85,2.88,Real Estate,88,FSCA.SI
FJ Benjamin,F10,0.024,8.29,28.496,80.903,9.8,,Retailers,59,FJBN.SI
Food Empire,F03,0.65,14.49,361.728,470.695,7.49,2.45,Food & Beverages,41,FEMP.SI
Forise Int,8A1,0.108,2.15,4.601,1.602,85.07,,Industrial & Commercial Services,,FOIL.SI
FortressMinerals,OAJ,0.33,21.94,165,62.796,9.78,2.42,Mineral Resources,67,FORR.SI
Frasers Property,TQ5,0.935,7.79,3710.109,3877.042,4.29,3.17,Real Estate,87,FRPL.SI
Frencken,E28,1,14.76,427.025,780.706,7.99,4.13,Industrial Goods,71,FREN.SI
Fu Yu,F13,0.21,12.03,158.129,246.926,8.05,7.86,Industrial Goods,69,FUYU.SI
Full Apex,BTY,0.405,-1.77,17.771,190.76,,,Chemicals,7,FULL.SI
Fuxing China,AWK,0.63,13.17,11.014,160.944,0.82,,Cyclical Consumer Products,59,FXCG.SI
G Invacom,QS9,0.054,-3.44,16.097,107.617,,,Technology Equipment,81,GLOB.SI
G K Goh,G41,0.9,-5.6,281.362,-38.828,,2.23,Banking & Investment Services,69,GKHS.SI
Gallant Venture,5IG,0.129,-5.88,704.805,148.31,,,Automobiles & Auto Parts,73,GLVT.SI
GCCP,41T,0.014,-11.21,19.333,2.612,,,Mineral Resources,54,GCCP.SI
GDS Global,5VP,0.035,-18.97,3.92,13.664,,,Cyclical Consumer Products,70,GDSG.SI
Genting Sing,G13,0.88,2.29,10642.743,1175.643,59.38,2.27,Cyclical Consumer Services,74,GENS.SI
Geo Energy Res,RE4,0.375,,518.619,1084.061,1.69,27.4,Energy - Fossil Fuels,80,GEOE.SI
GHY Culture,XJB,0.43,-0.66,456.362,60.159,,0.24,Cyclical Consumer Services,,GHYC.SI
Global Inv,B73,0.133,-9.49,229.271,-22.451,,6.02,Collective Investments,98,GLNV.SI
Global Palm Res,BLW,0.142,8.69,37.153,46.459,6.02,11.62,Food & Beverages,59,GPRL.SI
Global Testing,AYN,1.28,36.27,45.061,63.345,2.62,15.63,Technology Equipment,82,GTCL.SI
Golden Agri-Res,E5H,0.285,15.2,3722.889,15181.982,3.82,6.47,Food & Beverages,94,GAGR.SI
Golden Energy,AUE,0.78,57.6,2044.527,4735.228,3.92,,Energy - Fossil Fuels,64,GOLD.SI
Goodland,5PC,0.149,1.93,54.381,37.16,13.42,1.09,Real Estate,65,GLGP.SI
GP Industries,G20,0.615,8.91,307.602,1199.293,7.03,5.08,Industrial Goods,81,GPEI.SI
Grand Banks,G50,0.295,6.46,54.467,75.177,13.66,1.69,Cyclical Consumer Products,64,GBYL.SI
Grand Venture,JLB,0.5,17.51,169.645,129.78,10.13,1.6,Industrial Goods,75,GRAN.SI
Great Eastern,G07,18.33,9.91,8614.407,14713.1,9.13,3.57,Insurance,108,GELA.SI
Green Build,Y06,0.017,-211.79,4.626,2.938,,,Industrial & Commercial Services,56,GREE.SI
GRP,BLU,0.05,,9.685,,,,Automobiles & Auto Parts,53,GRPS.SI
GS Hldg,43A,0.12,,22.679,,,,Industrial & Commercial Services,37,GSHO.SI
GSH,BDX,0.161,-4.22,318.303,97.881,,,Industrial & Commercial Services,82,GSHC.SI
GSS Energy,41F,0.046,7.07,28.989,125.953,5.67,,Industrial Goods,84,GSSE.SI
Guoan Intl,G11,0.011,-15.3,67.1,29.371,,,Technology Equipment,,GUOA.SI
GuocoLand,F17,1.66,7.9,1905.231,965.514,4.97,3.73,Real Estate,96,GUOC.SI
H2G Green,5AI,0.018,-12.03,19.786,11.438,,,Cyclical Consumer Products,63,H2GG.SI
Hafary,5VS,0.205,22.24,88.263,141.019,5.23,7.32,Cyclical Consumer Products,82,HFRY.SI
Hai Leck,BLH,0.43,5.64,97.435,81.285,13.95,9.3,Energy - Fossil Fuels,48,HLHL.SI
Halcyon Agri,5VJ,0.395,0.62,630.03,3517.419,109.73,,Automobiles & Auto Parts,97,HALC.SI
Hatten Land,PH0,0.022,-186.3,39,25.185,,,Real Estate,35,HATT.SI
Haw Par,H02,9.62,4.24,2138.417,170.874,15.91,3.11,Pharmaceuticals & Medical Research,99,HPAR.SI
HC Surgical,1B1,0.34,61.27,51.475,19.311,7.93,7.65,Healthcare Services,66,HCSU.SI
HealthBank,40B,0.157,-7.49,14.051,0.045,,,Cyclical Consumer Services,84,HEAL.SI
Healthway Med,5NG,0.037,6.76,172.352,153.5,13.33,,Healthcare Services,100,HEMC.SI
Heatec Jietong,5OR,0.025,-25.67,3.074,18.098,,,Cyclical Consumer Products,57,HTJT.SI
Heeton,5DP,0.285,4.05,139.004,61.404,7.81,1.32,Real Estate,74,HEET.SI
Hengyang Petro,5PD,0.148,-0.28,30.112,0,,,Energy - Fossil Fuels,50,HNYG.SI
HG Metal,BTG,0.37,11.75,50.285,160.996,3.82,10.39,Mineral Resources,46,HGMM.SI
HGH,5GZ,0.014,-4.33,24.932,22.828,,,Mineral Resources,6,HGHH.SI
Hiap Hoe,5JK,0.765,1.55,363.036,97.009,31.14,0.65,Real Estate,92,HIAP.SI
Hiap Tong,5PO,0.07,9.09,21.565,85.224,2.91,,Banking & Investment Services,69,HTCL.SI
HL Global Ent,AVX,0.25,-1.78,23.479,2.458,,,Cyclical Consumer Services,53,HLGE.SI
Ho Bee Land,H13,2.47,9.78,1716.145,368.683,4.32,4.1,Real Estate,54,HBEE.SI
Hock Lian Seng,J2T,0.27,11.2,143.389,147.73,5.83,4.46,Industrial & Commercial Services,55,HLSG.SI
Hoe Leong,H20,0.003,8.21,41.252,44.949,75,,Industrial Goods,49,HLEC.SI
Hong Fok,H30,0.975,2.16,848.847,103.349,15.11,1.03,Real Estate,61,HONG.SI
Hong Lai Huat,CTO,0.067,2.88,34.696,5.635,4.86,2.99,Real Estate,73,HONL.SI
Hong Leong Asia,H22,0.65,6.57,489.904,4190.424,7.91,3.05,Automobiles & Auto Parts,101,HLAA.SI
Hong Leong Fin,S41,2.38,4.36,1062.072,243.837,8.15,5.06,Banking & Investment Services,68,HLSF.SI
HongkongLand USD,H78,4.17,2.37,9286.689,2392.5,11.9,5.28,Real Estate,,HKLD.SI
Hor Kew,BBP,0.29,6.63,15.099,58.841,3.51,,Industrial & Commercial Services,26,HKEW.SI
Hosen,5EV,0.052,5.52,17.87,68.146,10.05,3.64,Food & Drug Retailing,45,HSNG.SI
Hotel Grand,H18,0.88,0.88,672.878,121.548,58.41,1.1,Cyclical Consumer Services,43,HGCS.SI
Hotel Royal,H12,2.05,-2.16,245.549,31.694,,1.22,Cyclical Consumer Services,61,HTRS.SI
Hotung Inv,BLS,1.73,5.3,178.97,28.963,11.47,13.63,Banking & Investment Services,29,HOTU.SI
HPL,H15,3.5,0.88,1805.481,424.081,142.98,1.16,Cyclical Consumer Services,42,HPPS.SI
HRnetGroup,CHZ,0.795,17.93,809.125,629.603,12.5,4.54,Industrial & Commercial Services,38,HRNE.SI
Huationg Global,41B,0.084,10.74,14.888,145.934,1.82,,Industrial & Commercial Services,76,HUAT.SI
Hyphens Pharma,1J5,0.3,13.45,92.633,125.883,13.21,2.23,Pharmaceuticals & Medical Research,76,HYPH.SI
ICP Ltd,5I4,0.01,-4.8,31.117,5.121,,,Cyclical Consumer Services,53,ICPL.SI
IFAST,AIY,5.85,7.07,1680.033,212.419,136.98,0.84,Financial Technology (Fintech) & Infrastructure,80,IFAS.SI
IFS Capital,I49,0.179,3.64,67.299,44.003,10.56,4.36,Banking & Investment Services,63,IFAC.SI
IHH,Q0F,1.8,6.82,50986.992,17602.588,29.35,1.04,Healthcare Services,,IHHH.KL
Imperium Crown,5HT,0.016,-167.58,12.64,1.854,,,Real Estate,63,IMPE.SI
Inch Kenneth,I4R,0,-1.32,174.611,28.195,,,Cyclical Consumer Services,,IKEN.KL
Incredible,RDR,0.002,-66.88,5.987,11.621,,,Technology Equipment,74,INCR.SI
Indofood Agri,5JS,0.305,7.39,441.574,1632.813,5.73,2.62,Food & Beverages,70,IFAR.SI
Informatics,BOU,0.008,,1.419,6.501,,,Academic & Educational Services,56,INFO.SI
InnoTek,M14,0.47,1.42,115.929,173.72,42.42,4.26,Technology Equipment,85,INTK.SI
Interra Resource,5GI,0.032,24.83,20.976,28.906,2.03,,Energy - Fossil Fuels,68,INTR.SI
Intl Cement,KUO,0.023,10.77,131.899,188.809,5.41,,Mineral Resources,69,INTN.SI
Intraco,I06,0.265,-2.98,30.137,195.966,,,Industrial & Commercial Services,84,ITRS.SI
